date,account_number,location_id,bu_id,segment,amount,cost_center_id,vendor_id,project_id
2023-01-02,1101,3,7,Government,-83.4559635562662,11.0,,
2023-01-02,1202,2,8,Retail,1549.3564427131046,,,
2023-01-02,1203,5,1,Retail,1916.968971838151,,,
2023-01-02,2003,11,7,Retail,-706.9105253650466,12.0,12.0,
2023-01-02,2103,7,4,Corporate,-767.4847110960015,9.0,,
2023-01-02,2201,7,2,Corporate,-202.84912375406125,12.0,,
2023-01-02,3001,2,4,Corporate,-301.9292359554919,12.0,12.0,
2023-01-02,3002,1,4,Corporate,-416.8233348527245,2.0,8.0,6.0
2023-01-02,3101,2,2,Retail,-2631.035897434107,10.0,,
2023-01-02,3201,7,4,Corporate,-119.41398782532542,9.0,,
2023-01-02,3501,1,1,Retail,-191.10209228133704,7.0,9.0,
2023-01-02,3502,8,7,Government,-215.46321890054003,3.0,1.0,
2023-01-02,5001,3,1,Retail,-45.21623016246793,3.0,,
2023-01-03,1003,3,7,Government,2901.480892728447,,,
2023-01-03,1201,7,5,Government,3722.2045541721945,,,
2023-01-03,1202,7,3,Corporate,3479.1397321588183,,,
2023-01-03,2002,5,6,Retail,-902.3296362394614,11.0,10.0,
2023-01-03,2102,11,6,Corporate,-553.2018005660817,4.0,,
2023-01-03,2104,11,1,Retail,-315.29477697681074,5.0,,
2023-01-03,2202,8,1,Retail,-272.7296391672471,4.0,,
2023-01-03,3003,2,3,Corporate,-485.24522105818687,1.0,5.0,
2023-01-03,3103,5,8,Corporate,-6562.628655998165,1.0,,
2023-01-03,3201,12,2,Retail,-263.9322262970607,7.0,,
2023-01-03,3301,6,8,Corporate,-166.05632898131037,4.0,,6.0
2023-01-03,3302,1,1,Retail,-152.27676420293955,12.0,,3.0
2023-01-03,3401,3,7,Government,-1032.2408143858252,4.0,,
2023-01-03,3402,1,8,Government,-743.4348411390081,2.0,,
2023-01-03,3601,10,3,Corporate,-173.75676093560958,7.0,12.0,
2023-01-03,5002,8,4,Corporate,-23.240469811430856,6.0,,
2023-01-04,1001,2,2,Retail,2793.696571944989,,,
2023-01-04,1003,4,1,Retail,2975.574860733738,,,
2023-01-04,1101,8,8,Government,-135.59677692491417,3.0,,
2023-01-04,1201,3,6,Government,1701.8472744223366,,,
2023-01-04,2201,3,4,Corporate,-131.00609499279187,3.0,,
2023-01-04,2202,12,4,Corporate,-90.77709220680936,5.0,,
2023-01-04,3201,5,8,Government,-441.53899742186115,1.0,,
2023-01-04,3202,9,2,Government,-251.9851016625135,6.0,,
2023-01-04,3302,6,7,Retail,-219.36230894034986,11.0,,
2023-01-04,3401,6,8,Government,-785.9582667822297,10.0,,
2023-01-04,5003,10,2,Retail,-48.506072450031425,1.0,,
2023-01-04,5103,1,8,Corporate,-413.67158900126276,12.0,,
2023-01-05,1002,4,6,Government,3798.048843068775,,,
2023-01-05,1003,2,4,Corporate,3858.380416719808,,,
2023-01-05,1101,8,7,Government,-113.98933925022115,12.0,,
2023-01-05,1102,10,5,Retail,-192.92138126497306,7.0,,
2023-01-05,1202,10,1,Retail,2469.408918924418,,,
2023-01-05,1203,6,8,Corporate,3340.789506870925,,,
2023-01-05,2104,10,2,Corporate,-557.5869752374194,7.0,,
2023-01-05,3001,6,5,Retail,-299.58404643389633,4.0,10.0,10.0
2023-01-05,3401,3,3,Corporate,-1061.090494847641,5.0,,
2023-01-05,3502,12,7,Retail,-252.69844626484286,2.0,3.0,
2023-01-05,4001,7,4,Corporate,-95.48942519537741,10.0,,
2023-01-05,5001,10,5,Corporate,-17.72661042930944,8.0,,
2023-01-06,1201,1,1,Retail,2721.0094897914287,,,
2023-01-06,2003,9,3,Corporate,-744.5490899276681,12.0,9.0,
2023-01-06,2202,9,4,Corporate,-325.5452367415199,11.0,,
2023-01-06,3003,5,2,Retail,-144.91832689668007,7.0,10.0,
2023-01-06,3102,12,1,Retail,-2978.2167545757566,10.0,,
2023-01-06,3301,9,2,Government,-171.66845782690177,10.0,,
2023-01-06,3302,8,8,Corporate,-63.18785565403533,1.0,,1.0
2023-01-06,3501,12,6,Government,-137.4582459621056,11.0,10.0,
2023-01-06,3502,3,5,Corporate,-271.41078991799577,2.0,12.0,
2023-01-06,4001,9,7,Corporate,-69.71013077158096,9.0,,
2023-01-06,4002,6,2,Corporate,-193.4898825052741,5.0,,
2023-01-06,4102,3,4,Corporate,-58.152172466388095,9.0,,
2023-01-09,1102,12,4,Corporate,-202.93290400253196,10.0,,
2023-01-09,1201,12,4,Corporate,2141.3803808210732,,,
2023-01-09,1202,11,6,Government,2844.3854653764815,,,
2023-01-09,2003,3,5,Retail,-419.424393289312,2.0,3.0,
2023-01-09,2201,7,8,Corporate,-116.3063342263585,6.0,,
2023-01-09,3001,5,2,Government,-164.66851811554488,9.0,6.0,1.0
2023-01-09,3101,7,6,Corporate,-2001.6939602832163,5.0,,
2023-01-09,3302,9,6,Corporate,-248.19308774798589,3.0,,
2023-01-09,3402,8,7,Retail,-1219.53844864431,10.0,,
2023-01-09,4001,7,7,Corporate,-104.09579645386364,5.0,,
2023-01-09,5101,2,4,Corporate,-294.4042043360757,9.0,,
2023-01-10,1101,8,1,Retail,-107.77056467115062,10.0,,
2023-01-10,1102,5,2,Retail,-213.14664794364643,5.0,,
2023-01-10,1201,11,8,Government,1003.4533124346557,,,
2023-01-10,1202,7,8,Government,2301.2019556411256,,,
2023-01-10,2001,4,8,Corporate,-587.8111561086313,3.0,3.0,
2023-01-10,2101,5,5,Retail,-556.6665498621215,12.0,,
2023-01-10,2102,6,1,Retail,-477.45486237709196,5.0,,
2023-01-10,2103,2,1,Retail,-316.7236199594443,10.0,,
2023-01-10,2104,9,7,Corporate,-742.7686776357897,6.0,,
2023-01-10,3001,10,4,Corporate,-416.2602706653159,1.0,8.0,4.0
2023-01-10,3202,8,3,Corporate,-256.4172472983345,7.0,,
2023-01-10,3303,2,2,Retail,-273.7827083668798,3.0,,
2023-01-10,3402,7,1,Retail,-1682.827989505183,1.0,,
2023-01-10,3502,1,5,Corporate,-184.3315045570647,4.0,10.0,
2023-01-10,3602,6,2,Government,-135.2510680655481,8.0,8.0,
2023-01-10,3603,9,5,Retail,-108.86671665596407,4.0,10.0,
2023-01-10,4002,3,7,Corporate,-50.41166978474084,4.0,,
2023-01-10,5001,6,1,Retail,-21.08415613512897,8.0,,
2023-01-11,1001,10,6,Government,1798.027709353279,,,
2023-01-11,1201,11,7,Corporate,2830.3577302063436,,,
2023-01-11,1202,2,8,Retail,2894.412471752613,,,
2023-01-11,2001,8,2,Corporate,-391.8177120882508,5.0,9.0,
2023-01-11,2202,8,3,Corporate,-328.24936648136696,9.0,,
2023-01-11,3101,8,3,Corporate,-3496.9884514081186,9.0,,
2023-01-11,3201,3,3,Corporate,-146.06693476874204,10.0,,
2023-01-11,4001,8,3,Corporate,-182.46529389374538,7.0,,
2023-01-11,4102,1,4,Corporate,-54.1479320594089,7.0,,
2023-01-11,5102,4,6,Retail,-302.4074051476549,10.0,,
2023-01-12,1001,4,5,Government,4189.181463118215,,,
2023-01-12,1002,4,4,Corporate,4087.52792239298,,,
2023-01-12,1003,3,3,Corporate,3262.033389291895,,,
2023-01-12,2001,7,7,Retail,-270.5180729256282,11.0,12.0,
2023-01-12,2002,2,1,Retail,-302.3008728446788,1.0,8.0,
2023-01-12,2201,12,7,Retail,-251.55426504416488,9.0,,
2023-01-12,3101,5,2,Retail,-7252.023912780399,4.0,,
2023-01-12,3302,9,2,Corporate,-200.45782660226416,5.0,,3.0
2023-01-12,3602,12,3,Corporate,-173.54195202406652,3.0,6.0,
2023-01-12,5102,7,1,Retail,-329.2844378653002,7.0,,
2023-01-13,1202,3,7,Retail,2797.5610773103203,,,
2023-01-13,2003,1,8,Corporate,-397.40302340203937,7.0,7.0,
2023-01-13,2101,3,6,Retail,-239.47515995971526,12.0,,
2023-01-13,3001,7,3,Corporate,-272.22259289459987,8.0,6.0,
2023-01-13,3303,7,8,Retail,-248.02843621349317,7.0,,1.0
2023-01-13,3401,3,4,Corporate,-944.0807972922357,12.0,,
2023-01-13,3603,4,5,Corporate,-134.5810206297025,6.0,9.0,
2023-01-13,5001,6,6,Government,-44.70895155498678,4.0,,
2023-01-14,1002,5,1,Retail,2989.8595759195623,,,
2023-01-14,1101,6,5,Government,-233.37540165727944,9.0,,
2023-01-14,1201,9,5,Government,2993.1775127176024,,,
2023-01-14,2102,5,4,Corporate,-628.2556232230753,3.0,,
2023-01-14,2104,4,1,Retail,-592.0147990637774,11.0,,
2023-01-14,3101,4,7,Government,-2950.8220381397396,3.0,,
2023-01-14,3201,9,2,Retail,-427.80813397788336,5.0,,
2023-01-14,3402,2,5,Government,-1114.6539996963693,6.0,,
2023-01-14,3502,11,1,Retail,-223.77590702174376,1.0,10.0,
2023-01-14,3602,8,3,Corporate,-86.14462316917252,8.0,5.0,
2023-01-14,5101,7,1,Retail,-130.24152184938782,3.0,,
2023-01-16,1102,8,3,Corporate,-269.8582785556803,12.0,,
2023-01-16,1201,5,3,Corporate,2059.499855072265,,,
2023-01-16,1203,8,1,Retail,2853.60596152315,,,
2023-01-16,3402,3,5,Retail,-1569.1415125188773,8.0,,
2023-01-16,3501,5,1,Retail,-104.9110441055874,1.0,5.0,
2023-01-16,3603,10,5,Corporate,-111.71686565401319,5.0,11.0,
2023-01-16,4102,8,4,Corporate,-51.38105640969127,6.0,,
2023-01-16,5002,2,1,Retail,-48.530722502935454,10.0,,
2023-01-17,1001,9,3,Corporate,3389.096289721364,,,
2023-01-17,1003,3,2,Retail,3784.0824722151688,,,
2023-01-17,1101,3,6,Corporate,-113.03209897694288,8.0,,
2023-01-17,1102,4,6,Corporate,-185.6419755565732,2.0,,
2023-01-17,1202,9,3,Corporate,4522.605992919013,,,
2023-01-17,2101,8,4,Corporate,-618.1723513677716,6.0,,
2023-01-17,2104,12,8,Corporate,-746.7083983567899,12.0,,
2023-01-17,3201,6,8,Government,-477.3572338723327,8.0,,
2023-01-17,3202,9,5,Government,-134.95482474513068,9.0,,
2023-01-17,3301,11,6,Government,-183.6324978075041,5.0,,10.0
2023-01-17,3303,11,5,Retail,-95.50824397023445,7.0,,
2023-01-17,3501,11,1,Retail,-453.6624572878969,9.0,1.0,
2023-01-17,3601,3,8,Retail,-118.81001319858346,3.0,7.0,
2023-01-17,4001,4,4,Corporate,-189.8244411342242,4.0,,
2023-01-17,4101,10,6,Corporate,-50.32675857860183,6.0,,
2023-01-17,5002,12,7,Corporate,-17.139482103702363,11.0,,
2023-01-17,5102,7,2,Retail,-101.15019993691556,2.0,,
2023-01-18,1002,7,5,Corporate,2193.4977239599702,,,
2023-01-18,1102,11,3,Corporate,-62.284109437397404,3.0,,
2023-01-18,1201,12,5,Corporate,4338.098043791273,,,
2023-01-18,2104,1,1,Retail,-542.0315593933672,8.0,,
2023-01-18,3002,1,5,Corporate,-492.85524300867223,8.0,11.0,4.0
2023-01-18,3101,8,4,Corporate,-4300.098112875572,10.0,,
2023-01-18,3201,1,6,Corporate,-487.22992877813226,6.0,,
2023-01-18,3202,6,6,Corporate,-304.8680305571888,5.0,,
2023-01-18,3303,5,2,Retail,-149.99486297017407,2.0,,
2023-01-18,3401,9,1,Retail,-830.2235166599753,12.0,,
2023-01-18,3402,6,3,Corporate,-1781.1168889472817,8.0,,
2023-01-18,3501,6,6,Corporate,-496.09166103232656,10.0,8.0,
2023-01-18,3602,1,5,Retail,-180.09263689354094,6.0,7.0,
2023-01-18,4001,7,4,Corporate,-57.26750384670095,1.0,,
2023-01-18,4002,11,6,Corporate,-107.5093127206289,6.0,,
2023-01-18,5003,4,8,Retail,-18.64669786324552,10.0,,
2023-01-18,5102,12,2,Retail,-210.06937605037666,11.0,,
2023-01-19,2001,12,2,Retail,-817.236206934961,2.0,3.0,
2023-01-19,2102,3,5,Corporate,-778.5432484559358,6.0,,
2023-01-19,2103,12,1,Retail,-290.9816511635844,5.0,,
2023-01-19,3003,1,3,Corporate,-341.7939320603939,9.0,4.0,
2023-01-19,3301,12,3,Corporate,-267.108078718185,2.0,,1.0
2023-01-19,3401,12,6,Retail,-1728.5345709357653,2.0,,
2023-01-19,3502,12,5,Government,-356.30665224009374,8.0,7.0,
2023-01-19,3602,11,1,Retail,-161.27998509483086,9.0,12.0,
2023-01-19,5002,5,4,Corporate,-25.314200535838797,8.0,,
2023-01-19,5101,4,4,Corporate,-257.78473694204683,9.0,,
2023-01-20,1202,2,1,Retail,2824.6781120041283,,,
2023-01-20,2001,7,3,Corporate,-252.89998597767612,6.0,5.0,
2023-01-20,2101,10,4,Corporate,-464.07204288554874,5.0,,
2023-01-20,2103,9,2,Corporate,-393.9214392131724,9.0,,
2023-01-20,2202,4,8,Retail,-143.48537858053038,10.0,,
2023-01-20,3001,5,1,Retail,-406.17548266606855,7.0,8.0,
2023-01-20,3003,1,7,Government,-402.3410838310503,10.0,11.0,2.0
2023-01-20,3201,9,6,Corporate,-492.1624238011414,1.0,,
2023-01-20,3303,12,2,Retail,-83.39033311808865,6.0,,
2023-01-20,3501,9,3,Corporate,-338.3438713395868,4.0,2.0,
2023-01-20,4002,6,7,Corporate,-151.31212551495946,5.0,,
2023-01-20,5003,1,3,Corporate,-49.41331771814945,12.0,,
2023-01-20,5102,10,2,Retail,-348.08568792830806,9.0,,
2023-01-23,1001,10,1,Retail,2520.782475143428,,,
2023-01-23,2002,7,3,Corporate,-281.57556084001044,7.0,5.0,
2023-01-23,2003,11,3,Corporate,-616.65341644512,4.0,5.0,
2023-01-23,2101,4,8,Corporate,-330.9327757723408,4.0,,
2023-01-23,2201,2,2,Corporate,-111.88909454151889,4.0,,
2023-01-23,3001,12,2,Government,-132.89900433144908,7.0,8.0,10.0
2023-01-23,3003,6,1,Retail,-244.80591768268093,12.0,8.0,7.0
2023-01-23,3202,9,5,Retail,-215.02764987416055,8.0,,
2023-01-23,3302,4,2,Government,-133.1125251771324,4.0,,
2023-01-23,3303,4,2,Corporate,-115.78156376395447,7.0,,1.0
2023-01-23,3402,1,6,Corporate,-1089.358945866829,3.0,,
2023-01-23,3502,9,6,Corporate,-261.18123324172336,2.0,3.0,
2023-01-23,3702,8,4,Corporate,-2686.4523319743635,3.0,,6.0
2023-01-23,4001,4,8,Corporate,-110.6373907716565,1.0,,
2023-01-23,5101,5,8,Retail,-239.64905238112232,8.0,,
2023-01-24,1203,12,2,Corporate,1401.2117694306385,,,
2023-01-24,2002,10,6,Retail,-395.0693368838031,9.0,7.0,
2023-01-24,2104,12,3,Corporate,-785.9815508519229,8.0,,
2023-01-24,3001,5,4,Corporate,-197.89183180127685,6.0,6.0,
2023-01-24,3002,12,6,Retail,-363.33019924123164,4.0,1.0,
2023-01-24,3102,1,3,Corporate,-5618.110897554299,3.0,,
2023-01-24,3402,1,2,Retail,-1058.0749208410462,2.0,,
2023-01-24,3602,7,4,Corporate,-196.56592625358195,9.0,5.0,
2023-01-24,3603,3,2,Retail,-103.8541883982002,4.0,2.0,
2023-01-24,4003,3,3,Corporate,-76.21988488766478,9.0,,
2023-01-24,4102,5,2,Corporate,-93.60276845125584,4.0,,
2023-01-24,5002,12,5,Government,-32.41953245468359,4.0,,
