month_year,bu_id,pnl_account_name,amount
2023-01,1,Direct Labor,-2636.853500375719
2023-01,1,Direct Materials,-292.02116965844345
2023-01,1,Gross Revenue,13451.40401999702
2023-01,1,Interest,-114.54041455718476
2023-01,1,Manufacturing Overhead,-355.9489375792638
2023-01,1,Marketing,-596.0011337817956
2023-01,1,Net Revenue,29633.14976386154
2023-01,1,Office Supplies,-379.96360894788495
2023-01,1,Rent,-2667.5750166643443
2023-01,1,Salaries,-3070.929255790675
2023-01,1,Sales Returns,-340.05213467650094
2023-01,1,Taxes,-422.2165025969498
2023-01,1,Travel & Entertainment,-254.329733926931
2023-01,1,Utilities,-1042.5492084710124
2023-01,2,Amortization,-102.2467270902681
2023-01,2,Depreciation,-183.48107094389317
2023-01,2,Direct Labor,-1511.550377845925
2023-01,2,Direct Materials,-1226.9162922625785
2023-01,2,Gross Revenue,7322.23451335714
2023-01,2,Interest,-129.58904385263497
2023-01,2,Manufacturing Overhead,-333.99644576388044
2023-01,2,Marketing,-1215.988521307048
2023-01,2,Net Revenue,10233.31678152121
2023-01,2,Office Supplies,-403.66348426393085
2023-01,2,R&D,-1493.8693057344378
2023-01,2,Rent,-1758.0266774148265
2023-01,2,Salaries,-19063.9418347982
2023-01,2,Sales Commissions,-1134.5394387797376
2023-01,2,Sales Returns,-225.80523824518505
2023-01,2,Taxes,-1880.671085720234
2023-01,2,Travel & Entertainment,-1269.488457485491
2023-01,2,Utilities,-293.8670501318762
2023-01,3,Depreciation,-254.72665461277484
2023-01,3,Direct Labor,-833.45998172624
2023-01,3,Direct Materials,-1744.2748592529958
2023-01,3,Gross Revenue,9907.072864052776
2023-01,3,Interest,-102.21913124928578
2023-01,3,Manufacturing Overhead,-354.45005997094506
2023-01,3,Marketing,-1181.2412720394523
2023-01,3,Net Revenue,20116.136831319953
2023-01,3,Office Supplies,-427.65743658899936
2023-01,3,R&D,-6041.385627598949
2023-01,3,Rent,-3843.495428339386
2023-01,3,Salaries,-8448.29944292918
2023-01,3,Sales Commissions,-429.6106871214363
2023-01,3,Sales Returns,-348.7331282774937
2023-01,3,Taxes,-622.4711963040436
2023-01,3,Travel & Entertainment,-430.9849838666404
2023-01,3,Utilities,-309.97483293493576
2023-01,4,Amortization,-167.76578885437974
2023-01,4,Depreciation,-573.1826896056717
2023-01,4,Direct Labor,-2837.2190559010182
2023-01,4,Direct Materials,-896.0950207318132
2023-01,4,Gross Revenue,8335.629482720447
2023-01,4,Interest,-47.85031829047796
2023-01,4,Manufacturing Overhead,-584.5618810286766
2023-01,4,Marketing,-1341.1052226989445
