date,day,month,month_name,quarter,year,month_year,day_of_week,day_name,week_of_year,is_weekend,is_month_end,is_quarter_end,is_year_end
2023-01-01,1,1,January,1,2023,2023-01,6,Sunday,52,True,False,False,False
2023-01-02,2,1,January,1,2023,2023-01,0,Monday,1,False,False,False,False
2023-01-03,3,1,January,1,2023,2023-01,1,Tuesday,1,False,False,False,False
2023-01-04,4,1,January,1,2023,2023-01,2,Wednesday,1,False,False,False,False
2023-01-05,5,1,January,1,2023,2023-01,3,Thursday,1,False,False,False,False
2023-01-06,6,1,January,1,2023,2023-01,4,Friday,1,False,False,False,False
2023-01-07,7,1,January,1,2023,2023-01,5,Saturday,1,True,False,False,False
2023-01-08,8,1,January,1,2023,2023-01,6,Sunday,1,True,False,False,False
2023-01-09,9,1,January,1,2023,2023-01,0,Monday,2,False,False,False,False
2023-01-10,10,1,January,1,2023,2023-01,1,Tuesday,2,False,False,False,False
2023-01-11,11,1,January,1,2023,2023-01,2,Wednesday,2,False,False,False,False
2023-01-12,12,1,January,1,2023,2023-01,3,Thursday,2,False,False,False,False
2023-01-13,13,1,January,1,2023,2023-01,4,Friday,2,False,False,False,False
2023-01-14,14,1,January,1,2023,2023-01,5,Saturday,2,True,False,False,False
2023-01-15,15,1,January,1,2023,2023-01,6,Sunday,2,True,False,False,False
2023-01-16,16,1,January,1,2023,2023-01,0,Monday,3,False,False,False,False
2023-01-17,17,1,January,1,2023,2023-01,1,Tuesday,3,False,False,False,False
2023-01-18,18,1,January,1,2023,2023-01,2,Wednesday,3,False,False,False,False
2023-01-19,19,1,January,1,2023,2023-01,3,Thursday,3,False,False,False,False
2023-01-20,20,1,January,1,2023,2023-01,4,Friday,3,False,False,False,False
2023-01-21,21,1,January,1,2023,2023-01,5,Saturday,3,True,False,False,False
2023-01-22,22,1,January,1,2023,2023-01,6,Sunday,3,True,False,False,False
2023-01-23,23,1,January,1,2023,2023-01,0,Monday,4,False,False,False,False
2023-01-24,24,1,January,1,2023,2023-01,1,Tuesday,4,False,False,False,False
2023-01-25,25,1,January,1,2023,2023-01,2,Wednesday,4,False,False,False,False
2023-01-26,26,1,January,1,2023,2023-01,3,Thursday,4,False,False,False,False
2023-01-27,27,1,January,1,2023,2023-01,4,Friday,4,False,False,False,False
2023-01-28,28,1,January,1,2023,2023-01,5,Saturday,4,True,False,False,False
2023-01-29,29,1,January,1,2023,2023-01,6,Sunday,4,True,False,False,False
2023-01-30,30,1,January,1,2023,2023-01,0,Monday,5,False,False,False,False
2023-01-31,31,1,January,1,2023,2023-01,1,Tuesday,5,False,True,False,False
2023-02-01,1,2,February,1,2023,2023-02,2,Wednesday,5,False,False,False,False
2023-02-02,2,2,February,1,2023,2023-02,3,Thursday,5,False,False,False,False
2023-02-03,3,2,February,1,2023,2023-02,4,Friday,5,False,False,False,False
2023-02-04,4,2,February,1,2023,2023-02,5,Saturday,5,True,False,False,False
2023-02-05,5,2,February,1,2023,2023-02,6,Sunday,5,True,False,False,False
2023-02-06,6,2,February,1,2023,2023-02,0,Monday,6,False,False,False,False
2023-02-07,7,2,February,1,2023,2023-02,1,Tuesday,6,False,False,False,False
2023-02-08,8,2,February,1,2023,2023-02,2,Wednesday,6,False,False,False,False
2023-02-09,9,2,February,1,2023,2023-02,3,Thursday,6,False,False,False,False
2023-02-10,10,2,February,1,2023,2023-02,4,Friday,6,False,False,False,False
2023-02-11,11,2,February,1,2023,2023-02,5,Saturday,6,True,False,False,False
2023-02-12,12,2,February,1,2023,2023-02,6,Sunday,6,True,False,False,False
2023-02-13,13,2,February,1,2023,2023-02,0,Monday,7,False,False,False,False
2023-02-14,14,2,February,1,2023,2023-02,1,Tuesday,7,False,False,False,False
2023-02-15,15,2,February,1,2023,2023-02,2,Wednesday,7,False,False,False,False
2023-02-16,16,2,February,1,2023,2023-02,3,Thursday,7,False,False,False,False
2023-02-17,17,2,February,1,2023,2023-02,4,Friday,7,False,False,False,False
2023-02-18,18,2,February,1,2023,2023-02,5,Saturday,7,True,False,False,False
2023-02-19,19,2,February,1,2023,2023-02,6,Sunday,7,True,False,False,False
2023-02-20,20,2,February,1,2023,2023-02,0,Monday,8,False,False,False,False
2023-02-21,21,2,February,1,2023,2023-02,1,Tuesday,8,False,False,False,False
2023-02-22,22,2,February,1,2023,2023-02,2,Wednesday,8,False,False,False,False
2023-02-23,23,2,February,1,2023,2023-02,3,Thursday,8,False,False,False,False
2023-02-24,24,2,February,1,2023,2023-02,4,Friday,8,False,False,False,False
2023-02-25,25,2,February,1,2023,2023-02,5,Saturday,8,True,False,False,False
2023-02-26,26,2,February,1,2023,2023-02,6,Sunday,8,True,False,False,False
2023-02-27,27,2,February,1,2023,2023-02,0,Monday,9,False,False,False,False
2023-02-28,28,2,February,1,2023,2023-02,1,Tuesday,9,False,True,False,False
2023-03-01,1,3,March,1,2023,2023-03,2,Wednesday,9,False,False,False,False
2023-03-02,2,3,March,1,2023,2023-03,3,Thursday,9,False,False,False,False
2023-03-03,3,3,March,1,2023,2023-03,4,Friday,9,False,False,False,False
2023-03-04,4,3,March,1,2023,2023-03,5,Saturday,9,True,False,False,False
2023-03-05,5,3,March,1,2023,2023-03,6,Sunday,9,True,False,False,False
2023-03-06,6,3,March,1,2023,2023-03,0,Monday,10,False,False,False,False
2023-03-07,7,3,March,1,2023,2023-03,1,Tuesday,10,False,False,False,False
2023-03-08,8,3,March,1,2023,2023-03,2,Wednesday,10,False,False,False,False
2023-03-09,9,3,March,1,2023,2023-03,3,Thursday,10,False,False,False,False
2023-03-10,10,3,March,1,2023,2023-03,4,Friday,10,False,False,False,False
2023-03-11,11,3,March,1,2023,2023-03,5,Saturday,10,True,False,False,False
2023-03-12,12,3,March,1,2023,2023-03,6,Sunday,10,True,False,False,False
2023-03-13,13,3,March,1,2023,2023-03,0,Monday,11,False,False,False,False
2023-03-14,14,3,March,1,2023,2023-03,1,Tuesday,11,False,False,False,False
2023-03-15,15,3,March,1,2023,2023-03,2,Wednesday,11,False,False,False,False
2023-03-16,16,3,March,1,2023,2023-03,3,Thursday,11,False,False,False,False
2023-03-17,17,3,March,1,2023,2023-03,4,Friday,11,False,False,False,False
2023-03-18,18,3,March,1,2023,2023-03,5,Saturday,11,True,False,False,False
2023-03-19,19,3,March,1,2023,2023-03,6,Sunday,11,True,False,False,False
2023-03-20,20,3,March,1,2023,2023-03,0,Monday,12,False,False,False,False
2023-03-21,21,3,March,1,2023,2023-03,1,Tuesday,12,False,False,False,False
2023-03-22,22,3,March,1,2023,2023-03,2,Wednesday,12,False,False,False,False
2023-03-23,23,3,March,1,2023,2023-03,3,Thursday,12,False,False,False,False
2023-03-24,24,3,March,1,2023,2023-03,4,Friday,12,False,False,False,False
2023-03-25,25,3,March,1,2023,2023-03,5,Saturday,12,True,False,False,False
2023-03-26,26,3,March,1,2023,2023-03,6,Sunday,12,True,False,False,False
2023-03-27,27,3,March,1,2023,2023-03,0,Monday,13,False,False,False,False
2023-03-28,28,3,March,1,2023,2023-03,1,Tuesday,13,False,False,False,False
2023-03-29,29,3,March,1,2023,2023-03,2,Wednesday,13,False,False,False,False
